competition_name,competition_date,competition_location,competition_nation_host,athlete_sex,competition_age_category,competition_url,weight_class,competition_standing,athlete_name,nation,club,bodyweight_kg,competition_group,snatch_1,snatch_1_result,snatch_2,snatch_2_result,snatch_3,snatch_3_result,clean_jerk_1,clean_jerk_1_result,clean_jerk_2,clean_jerk_2_result,clean_jerk_3,clean_jerk_3_result,total_kg,sinclair
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,21,Ngadja	 Nyabeyeu Junior Periclex,CMR,,109.00,C,152.0,s,156.0,u,157.0,u,193.0,s,200.0,s,205.0,u,352.0,390.4
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,22,Sidiskis Arnas,LTU,,106.98,C,145.0,s,151.0,s,153.0,s,180.0,s,185.0,s,189.0,u,338.0,377.5
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,23,Vogel Arnost,CZE,,106.54,C,142.0,u,143.0,u,146.0,s,178.0,s,183.0,s,186.0,u,329.0,368.0
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,1,Varazdat Lalayan,ARM,,155.05,A,206.0,s,211.0,s,215.0,s,245.0,s,252.0,u,252.0,s,467.0,474.3
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,2,Davoudi Ali,IRI,,177.60,A,200.0,s,206.0,s,210.0,u,250.0,u,250.0,u,253.0,s,459.0,460.1
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,3,Yousefi Alireza,IRI,,188.50,A,184.0,s,194.0,s,194.0,s,248.0,s,258.0,s,262.0,s,456.0,456.1
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,4,Minasyan  Gor,ARM,,153.40,A,205.0,s,210.0,s,215.0,u,245.0,u,245.0,u,245.0,s,455.0,462.8
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,5,Rubaiawi Ali Ammar,IRQ,,134.28,A,201.0,s,204.0,s,207.0,u,134.0,s,237.0,s,247.0,s,451.0,470.4
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,6,Liti David,NZL,,181.30,A,180.0,u,180.0,s,190.0,u,226.0,s,231.0,s,236.0,u,411.0,411.6
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,7,Willits Aaron James,USA,,184.90,A,172.0,s,177.0,s,180.0,s,221.0,s,231.0,u,231.0,u,401.0,401.3
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,8,Turmanidze Bakari,GEO,,165.89,A,180.0,s,185.0,s,190.0,u,212.0,s,220.0,u,222.0,u,397.0,400.0
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,9,Cerro Rafael,COL,,138.74,A,180.0,u,180.0,u,180.0,s,210.0,s,220.0,u,236.0,u,390.0,403.8
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,10,Prylypko Vladyslav,UKR,,127.18,B,162.0,s,167.0,s,170.0,u,208.0,s,213.0,s,215.0,s,382.0,403.8
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,11,Alnajjar M Moayad,SYR,,156.70,B,168.0,u,168.0,s,175.0,u,213.0,s,216.0,u,216.0,u,381.0,386.4
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,12,Wilkes Caine,USA,,160.80,B,168.0,s,174.0,u,175.0,u,205.0,s,211.0,u,213.0,s,381.0,385.1
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,13,Hanzenko Oleh,UKR,,165.46,B,167.0,u,167.0,s,170.0,s,208.0,u,208.0,s,210.0,s,380.0,383.0
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,14,Stonkus Karolis,LTU,,137.72,B,150.0,s,156.0,u,156.0,s,205.0,s,210.0,s,215.0,u,366.0,379.6
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,15,Panya Rungsuriya,THA,,130.26,B,152.0,s,156.0,s,160.0,u,205.0,u,206.0,u,206.0,s,362.0,380.3
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,16,Bizama Alonso,CHI,,151.90,B,150.0,s,155.0,s,161.0,u,195.0,s,202.0,u,202.0,u,350.0,356.5
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,17,Rajic Krizan,CRO,,123.74,B,140.0,s,145.0,u,145.0,s,160.0,s,167.0,u,167.0,s,312.0,332.3
